"subj","age","condition","pos","item","response"
1,4,1,"adj","good_bad",0
2,5,1,"adj","good_bad",1
3,5,1,"adj","good_bad",1
4,5,1,"adj","good_bad",1
5,5,1,"adj","good_bad",1
6,5,1,"adj","good_bad",1
7,4,0,"adj","good_bad",0
8,5,0,"adj","good_bad",0
9,5,0,"adj","good_bad",0
10,4,0,"adj","good_bad",1
11,5,0,"adj","good_bad",1
12,4,1,"adj","good_bad",1
13,5,1,"adj","good_bad",0
14,4,1,"adj","good_bad",0
15,4,1,"adj","good_bad",1
16,4,1,"adj","good_bad",1
18,5,0,"adj","good_bad",0
20,5,0,"adj","good_bad",1
22,4,1,"adj","good_bad",0
23,5,1,"adj","good_bad",0
24,4,1,"adj","good_bad",0
26,4,1,"adj","good_bad",0
27,5,0,"adj","good_bad",1
28,4,0,"adj","good_bad",1
31,5,0,"adj","good_bad",1
32,4,1,"adj","good_bad",0
33,4,1,"adj","good_bad",1
35,4,1,"adj","good_bad",1
36,5,1,"adj","good_bad",1
37,4,0,"adj","good_bad",0
38,4,0,"adj","good_bad",0
42,4,1,"adj","good_bad",1
43,5,1,"adj","good_bad",1
44,4,1,"adj","good_bad",0
45,4,1,"adj","good_bad",1
46,4,1,"adj","good_bad",1
47,4,0,"adj","good_bad",0
48,5,0,"adj","good_bad",0
49,5,0,"adj","good_bad",0
50,4,0,"adj","good_bad",0
51,4,0,"adj","good_bad",0
52,5,1,"adj","good_bad",1
53,5,1,"adj","good_bad",0
54,5,1,"adj","good_bad",0
55,5,1,"adj","good_bad",1
58,4,0,"adj","good_bad",1
59,4,0,"adj","good_bad",0
60,5,0,"adj","good_bad",0
61,4,0,"adj","good_bad",1
62,5,0,"adj","good_bad",0
63,5,0,"adj","good_bad",0
64,4,0,"adj","good_bad",0
66,5,0,"adj","good_bad",1
67,4,0,"adj","good_bad",0
68,5,0,"adj","good_bad",1
69,5,0,"adj","good_bad",0
70,5,0,"adj","good_bad",0
71,5,0,"adj","good_bad",0
72,4,0,"adj","good_bad",0
73,5,0,"adj","good_bad",0
75,5,0,"adj","good_bad",1
76,5,0,"adj","good_bad",1
77,5,0,"adj","good_bad",1
78,4,0,"adj","good_bad",1
79,5,0,"adj","good_bad",0
80,5,0,"adj","good_bad",1
81,5,0,"adj","good_bad",0
82,5,1,"adj","good_bad",1
83,5,0,"adj","good_bad",0
84,5,1,"adj","good_bad",1
85,5,1,"adj","good_bad",1
86,5,1,"adj","good_bad",1
87,5,1,"adj","good_bad",0
88,4,1,"adj","good_bad",1
89,5,1,"adj","good_bad",1
90,4,0,"adj","good_bad",0
91,5,0,"adj","good_bad",0
92,5,0,"adj","good_bad",1
93,5,1,"adj","good_bad",1
94,4,0,"adj","good_bad",1
96,5,1,"adj","good_bad",0
98,4,0,"adj","good_bad",0
99,4,1,"adj","good_bad",1
100,4,1,"adj","good_bad",1
101,5,1,"adj","good_bad",1
102,4,0,"adj","good_bad",0
103,4,1,"adj","good_bad",0
104,4,1,"adj","good_bad",0
105,4,1,"adj","good_bad",0
106,5,0,"adj","good_bad",1
107,4,1,"adj","good_bad",0
108,5,0,"adj","good_bad",1
109,4,1,"adj","good_bad",1
111,5,1,"adj","good_bad",0
112,4,1,"adj","good_bad",1
113,4,1,"adj","good_bad",0
114,5,1,"adj","good_bad",1
115,4,0,"adj","good_bad",0
116,4,0,"adj","good_bad",0
117,4,0,"adj","good_bad",1
118,4,0,"adj","good_bad",1
119,4,0,"adj","good_bad",1
120,4,0,"adj","good_bad",0
122,4,1,"adj","good_bad",1
123,4,1,"adj","good_bad",1
124,4,1,"adj","good_bad",0
125,4,1,"adj","good_bad",0
1,4,1,"adj","big_little",1
2,5,1,"adj","big_little",1
3,5,1,"adj","big_little",1
4,5,1,"adj","big_little",0
5,5,1,"adj","big_little",1
6,5,1,"adj","big_little",1
7,4,0,"adj","big_little",1
8,5,0,"adj","big_little",0
9,5,0,"adj","big_little",0
10,4,0,"adj","big_little",1
11,5,0,"adj","big_little",1
12,4,1,"adj","big_little",0
13,5,1,"adj","big_little",0
14,4,1,"adj","big_little",1
15,4,1,"adj","big_little",0
16,4,1,"adj","big_little",1
18,5,0,"adj","big_little",1
20,5,0,"adj","big_little",0
22,4,1,"adj","big_little",0
23,5,1,"adj","big_little",1
24,4,1,"adj","big_little",0
26,4,1,"adj","big_little",1
27,5,0,"adj","big_little",1
28,4,0,"adj","big_little",1
31,5,0,"adj","big_little",0
32,4,1,"adj","big_little",0
33,4,1,"adj","big_little",0
35,4,1,"adj","big_little",0
36,5,1,"adj","big_little",1
37,4,0,"adj","big_little",0
38,4,0,"adj","big_little",0
42,4,1,"adj","big_little",1
43,5,1,"adj","big_little",1
44,4,1,"adj","big_little",1
45,4,1,"adj","big_little",0
46,4,1,"adj","big_little",0
47,4,0,"adj","big_little",1
48,5,0,"adj","big_little",0
49,5,0,"adj","big_little",1
50,4,0,"adj","big_little",0
51,4,0,"adj","big_little",0
52,5,1,"adj","big_little",0
53,5,1,"adj","big_little",0
54,5,1,"adj","big_little",0
55,5,1,"adj","big_little",1
58,4,0,"adj","big_little",0
59,4,0,"adj","big_little",0
60,5,0,"adj","big_little",0
61,4,0,"adj","big_little",1
62,5,0,"adj","big_little",1
63,5,0,"adj","big_little",0
64,4,0,"adj","big_little",0
66,5,0,"adj","big_little",1
67,4,0,"adj","big_little",1
68,5,0,"adj","big_little",0
69,5,0,"adj","big_little",0
70,5,0,"adj","big_little",0
71,5,0,"adj","big_little",0
72,4,0,"adj","big_little",0
73,5,0,"adj","big_little",0
75,5,0,"adj","big_little",1
76,5,0,"adj","big_little",1
77,5,0,"adj","big_little",0
78,4,0,"adj","big_little",1
79,5,0,"adj","big_little",1
80,5,0,"adj","big_little",1
81,5,0,"adj","big_little",0
82,5,1,"adj","big_little",1
83,5,0,"adj","big_little",1
84,5,1,"adj","big_little",0
85,5,1,"adj","big_little",0
86,5,1,"adj","big_little",1
87,5,1,"adj","big_little",1
88,4,1,"adj","big_little",1
89,5,1,"adj","big_little",1
90,4,0,"adj","big_little",0
91,5,0,"adj","big_little",0
92,5,0,"adj","big_little",1
93,5,1,"adj","big_little",1
94,4,0,"adj","big_little",0
96,5,1,"adj","big_little",0
98,4,0,"adj","big_little",1
99,4,1,"adj","big_little",1
100,4,1,"adj","big_little",1
101,5,1,"adj","big_little",1
102,4,0,"adj","big_little",0
103,4,1,"adj","big_little",1
104,4,1,"adj","big_little",1
105,4,1,"adj","big_little",1
106,5,0,"adj","big_little",1
107,4,1,"adj","big_little",0
108,5,0,"adj","big_little",0
109,4,1,"adj","big_little",0
111,5,1,"adj","big_little",0
112,4,1,"adj","big_little",1
113,4,1,"adj","big_little",0
114,5,1,"adj","big_little",1
115,4,0,"adj","big_little",0
116,4,0,"adj","big_little",0
117,4,0,"adj","big_little",1
118,4,0,"adj","big_little",0
119,4,0,"adj","big_little",1
120,4,0,"adj","big_little",0
122,4,1,"adj","big_little",1
123,4,1,"adj","big_little",1
124,4,1,"adj","big_little",0
125,4,1,"adj","big_little",0
1,4,1,"adj","cold_hot",1
2,5,1,"adj","cold_hot",1
3,5,1,"adj","cold_hot",1
4,5,1,"adj","cold_hot",1
5,5,1,"adj","cold_hot",1
6,5,1,"adj","cold_hot",1
7,4,0,"adj","cold_hot",0
8,5,0,"adj","cold_hot",0
9,5,0,"adj","cold_hot",0
10,4,0,"adj","cold_hot",1
11,5,0,"adj","cold_hot",1
12,4,1,"adj","cold_hot",0
13,5,1,"adj","cold_hot",0
14,4,1,"adj","cold_hot",1
15,4,1,"adj","cold_hot",0
16,4,1,"adj","cold_hot",1
18,5,0,"adj","cold_hot",0
20,5,0,"adj","cold_hot",0
22,4,1,"adj","cold_hot",0
23,5,1,"adj","cold_hot",1
24,4,1,"adj","cold_hot",0
26,4,1,"adj","cold_hot",1
27,5,0,"adj","cold_hot",1
28,4,0,"adj","cold_hot",1
31,5,0,"adj","cold_hot",0
32,4,1,"adj","cold_hot",0
33,4,1,"adj","cold_hot",0
35,4,1,"adj","cold_hot",0
36,5,1,"adj","cold_hot",1
37,4,0,"adj","cold_hot",0
38,4,0,"adj","cold_hot",1
42,4,1,"adj","cold_hot",1
43,5,1,"adj","cold_hot",1
44,4,1,"adj","cold_hot",0
45,4,1,"adj","cold_hot",1
46,4,1,"adj","cold_hot",1
47,4,0,"adj","cold_hot",1
48,5,0,"adj","cold_hot",1
49,5,0,"adj","cold_hot",1
50,4,0,"adj","cold_hot",0
51,4,0,"adj","cold_hot",1
52,5,1,"adj","cold_hot",1
53,5,1,"adj","cold_hot",1
54,5,1,"adj","cold_hot",1
55,5,1,"adj","cold_hot",1
58,4,0,"adj","cold_hot",1
59,4,0,"adj","cold_hot",0
60,5,0,"adj","cold_hot",1
61,4,0,"adj","cold_hot",1
62,5,0,"adj","cold_hot",1
63,5,0,"adj","cold_hot",0
64,4,0,"adj","cold_hot",0
66,5,0,"adj","cold_hot",1
67,4,0,"adj","cold_hot",1
68,5,0,"adj","cold_hot",1
69,5,0,"adj","cold_hot",1
70,5,0,"adj","cold_hot",1
71,5,0,"adj","cold_hot",1
72,4,0,"adj","cold_hot",0
73,5,0,"adj","cold_hot",1
75,5,0,"adj","cold_hot",1
76,5,0,"adj","cold_hot",1
77,5,0,"adj","cold_hot",0
78,4,0,"adj","cold_hot",1
79,5,0,"adj","cold_hot",1
80,5,0,"adj","cold_hot",1
81,5,0,"adj","cold_hot",0
82,5,1,"adj","cold_hot",1
83,5,0,"adj","cold_hot",1
84,5,1,"adj","cold_hot",1
85,5,1,"adj","cold_hot",0
86,5,1,"adj","cold_hot",1
87,5,1,"adj","cold_hot",0
88,4,1,"adj","cold_hot",1
89,5,1,"adj","cold_hot",1
90,4,0,"adj","cold_hot",0
91,5,0,"adj","cold_hot",1
92,5,0,"adj","cold_hot",1
93,5,1,"adj","cold_hot",1
94,4,0,"adj","cold_hot",0
96,5,1,"adj","cold_hot",0
98,4,0,"adj","cold_hot",1
99,4,1,"adj","cold_hot",1
100,4,1,"adj","cold_hot",1
101,5,1,"adj","cold_hot",1
102,4,0,"adj","cold_hot",0
103,4,1,"adj","cold_hot",1
104,4,1,"adj","cold_hot",1
105,4,1,"adj","cold_hot",1
106,5,0,"adj","cold_hot",1
107,4,1,"adj","cold_hot",0
108,5,0,"adj","cold_hot",0
109,4,1,"adj","cold_hot",0
111,5,1,"adj","cold_hot",1
112,4,1,"adj","cold_hot",1
113,4,1,"adj","cold_hot",1
114,5,1,"adj","cold_hot",1
115,4,0,"adj","cold_hot",0
116,4,0,"adj","cold_hot",0
117,4,0,"adj","cold_hot",1
118,4,0,"adj","cold_hot",1
119,4,0,"adj","cold_hot",1
120,4,0,"adj","cold_hot",0
122,4,1,"adj","cold_hot",1
123,4,1,"adj","cold_hot",0
124,4,1,"adj","cold_hot",0
125,4,1,"adj","cold_hot",1
1,4,1,"adj","wet_dry",1
2,5,1,"adj","wet_dry",1
3,5,1,"adj","wet_dry",1
4,5,1,"adj","wet_dry",1
5,5,1,"adj","wet_dry",1
6,5,1,"adj","wet_dry",1
7,4,0,"adj","wet_dry",0
8,5,0,"adj","wet_dry",0
9,5,0,"adj","wet_dry",0
10,4,0,"adj","wet_dry",1
11,5,0,"adj","wet_dry",1
12,4,1,"adj","wet_dry",1
13,5,1,"adj","wet_dry",1
14,4,1,"adj","wet_dry",1
15,4,1,"adj","wet_dry",0
16,4,1,"adj","wet_dry",1
18,5,0,"adj","wet_dry",1
20,5,0,"adj","wet_dry",1
22,4,1,"adj","wet_dry",0
23,5,1,"adj","wet_dry",1
24,4,1,"adj","wet_dry",0
26,4,1,"adj","wet_dry",1
27,5,0,"adj","wet_dry",1
28,4,0,"adj","wet_dry",0
31,5,0,"adj","wet_dry",1
32,4,1,"adj","wet_dry",0
33,4,1,"adj","wet_dry",0
35,4,1,"adj","wet_dry",1
