index,Subj,age,Rating,pos,item,response,trial_type
0,3,6.647222222222222,1,adj,trial_1,1,same
1,5,5.483333333333333,1,adj,trial_1,0,same
2,7,6.188888888888889,0,adj,trial_1,1,same
3,11,6.380555555555556,0,adj,trial_1,1,same
4,13,6.030555555555556,1,adj,trial_1,1,same
5,15,6.080555555555556,1,adj,trial_1,0,same
6,17,5.722222222222222,1,adj,trial_1,1,same
7,21,6.036111111111111,0,adj,trial_1,0,same
8,23,6.188888888888889,0,adj,trial_1,1,same
9,31,6.044444444444444,0,adj,trial_1,0,same
10,33,6.002777777777778,0,adj,trial_1,0,same
11,35,6.066666666666666,0,adj,trial_1,1,same
12,37,6.408333333333333,1,adj,trial_1,0,same
13,39,6.111111111111111,1,adj,trial_1,1,same
14,41,5.522222222222222,1,adj,trial_1,0,same
15,43,6.161111111111111,0,adj,trial_1,1,same
16,44,6.358333333333333,1,adj,trial_1,1,same
17,46,5.486111111111111,0,adj,trial_1,0,same
18,49,6.716666666666667,0,adj,trial_1,0,same
19,51,5.636111111111111,1,adj,trial_1,1,same
20,53,6.394444444444445,0,adj,trial_1,0,same
21,54,6.661111111111111,0,adj,trial_1,0,same
22,56,5.794444444444444,0,adj,trial_1,1,same
23,59,5.055555555555555,1,adj,trial_1,1,same
24,60,6.580555555555556,0,adj,trial_1,0,same
25,62,6.025,1,adj,trial_1,1,same
26,63,5.538888888888889,1,adj,trial_1,1,same
27,66,5.805555555555555,1,adj,trial_1,1,same
28,68,6.305555555555555,0,adj,trial_1,1,same
29,70,5.655555555555556,0,adj,trial_1,0,same
30,72,5.305555555555555,0,adj,trial_1,1,same
31,74,5.380555555555556,0,adj,trial_1,1,same
32,76,5.408333333333333,0,adj,trial_1,1,same
33,77,6.080555555555556,0,adj,trial_1,1,same
34,80,5.491666666666666,1,adj,trial_1,1,same
35,83,5.6194444444444445,0,adj,trial_1,0,same
36,85,6.663888888888889,0,adj,trial_1,0,same
37,87,6.986111111111111,1,adj,trial_1,0,same
38,88,5.222222222222222,0,adj,trial_1,1,same
39,90,5.963888888888889,0,adj,trial_1,1,same
40,93,5.508333333333334,1,adj,trial_1,0,same
41,95,5.055555555555555,1,adj,trial_1,1,same
42,97,6.55,0,adj,trial_1,0,same
43,98,6.7,1,adj,trial_1,1,same
44,101,5.2444444444444445,1,adj,trial_1,0,same
45,102,6.8694444444444445,0,adj,trial_1,1,same
46,105,6.805555555555555,0,adj,trial_1,1,same
47,107,5.780555555555556,1,adj,trial_1,1,same
48,109,6.7444444444444445,0,adj,trial_1,1,same
49,110,6.747222222222222,1,adj,trial_1,1,same
50,114,5.502777777777778,0,adj,trial_1,1,same
51,115,5.230555555555555,0,adj,trial_1,1,same
52,116,6.436111111111111,1,adj,trial_1,1,same
53,119,6.358333333333333,1,adj,trial_1,1,same
54,120,5.927777777777778,0,adj,trial_1,0,same
55,122,5.652777777777778,0,adj,trial_1,0,same
56,123,5.075,0,adj,trial_1,0,same
57,125,6.922222222222223,1,adj,trial_1,1,same
58,127,6.997222222222222,0,adj,trial_1,0,same
59,4,5.280555556,1,adj,trial_1,0,mixed
60,6,6.086111111,1,adj,trial_1,1,mixed
61,8,6.1,0,adj,trial_1,0,mixed
62,10,6.127777778,0,adj,trial_1,1,mixed
63,12,6.041666667,0,adj,trial_1,1,mixed
64,14,6.077777778,1,adj,trial_1,1,mixed
65,16,5.988888889,1,adj,trial_1,1,mixed
66,18,6.052777778,1,adj,trial_1,1,mixed
67,20,6.008333333,0,adj,trial_1,0,mixed
68,22,5.016666667,0,adj,trial_1,0,mixed
69,26,5.211111111,1,adj,trial_1,1,mixed
70,30,6.011111111,1,adj,trial_1,1,mixed
71,34,6.075,0,adj,trial_1,0,mixed
72,38,6.530555556,1,adj,trial_1,1,mixed
73,40,6.111111111,1,adj,trial_1,1,mixed
74,42,5.963888889,1,adj,trial_1,1,mixed
75,45,5.486111111,0,adj,trial_1,0,mixed
76,47,6.688888889,1,adj,trial_1,1,mixed
77,48,5.755555556,0,adj,trial_1,0,mixed
78,50,6.386111111,0,adj,trial_1,1,mixed
79,52,5.986111111,1,adj,trial_1,0,mixed
80,55,6.755555556,0,adj,trial_1,0,mixed
81,58,5.063888889,1,adj,trial_1,0,mixed
82,61,6.361111111,1,adj,trial_1,1,mixed
83,65,6.730555556,1,adj,trial_1,0,mixed
84,67,5.888888889,0,adj,trial_1,0,mixed
85,69,6.888888889,0,adj,trial_1,0,mixed
86,71,5.305555556,0,adj,trial_1,1,mixed
87,73,5.227777778,0,adj,trial_1,0,mixed
88,75,6.597222222,1,adj,trial_1,0,mixed
89,78,6.444444444,1,adj,trial_1,0,mixed
90,79,5.983333333,0,adj,trial_1,1,mixed
91,81,6.722222222,1,adj,trial_1,1,mixed
92,82,5.619444444,1,adj,trial_1,1,mixed
93,84,6.85,0,adj,trial_1,1,mixed
94,86,5.722222222,0,adj,trial_1,0,mixed
95,89,5.702777778,0,adj,trial_1,1,mixed
96,91,5.597222222,0,adj,trial_1,1,mixed
97,92,6.544444444,1,adj,trial_1,1,mixed
98,94,5.755555556,1,adj,trial_1,0,mixed
99,96,6.788888889,1,adj,trial_1,0,mixed
100,99,5.983333333,0,adj,trial_1,1,mixed
101,100,5.586111111,1,adj,trial_1,0,mixed
102,103,5.880555556,0,adj,trial_1,0,mixed
103,104,5.175,1,adj,trial_1,1,mixed
104,106,6.552777778,0,adj,trial_1,1,mixed
105,108,6.875,1,adj,trial_1,1,mixed
106,111,5.108333333,0,adj,trial_1,0,mixed
107,113,5.502777778,0,adj,trial_1,1,mixed
108,117,5.744444444,0,adj,trial_1,1,mixed
109,118,6.213888889,1,adj,trial_1,1,mixed
110,121,5.927777778,0,adj,trial_1,0,mixed
111,124,6.5,1,adj,trial_1,1,mixed
112,126,6.536111111,0,adj,trial_1,0,mixed
113,3,6.647222222222222,1,adj,trial_2,1,mixed
114,5,5.483333333333333,1,adj,trial_2,1,mixed
115,7,6.188888888888889,0,adj,trial_2,1,mixed
116,11,6.380555555555556,0,adj,trial_2,1,mixed
117,13,6.030555555555556,1,adj,trial_2,0,mixed
118,15,6.080555555555556,1,adj,trial_2,1,mixed
119,17,5.722222222222222,1,adj,trial_2,1,mixed
120,21,6.036111111111111,0,adj,trial_2,1,mixed
121,23,6.188888888888889,0,adj,trial_2,0,mixed
